,open,high,low,close,volume,value,ma5,range,target,bull,ror,hpr,dd
2021-02-24 09:00:00,130,241,58.4,64.9,8784704728.52405,614647269468.299,,91.3,,0,1,1,0
2021-02-25 09:00:00,64.9,67.6,56.5,57.3,2504741091.3071,156602151823.715,,5.55,156.2,0,1,1,0
2021-02-26 09:00:00,57.4,60.2,56.1,58.8,824609494.639349,47973285496.7319,,2.05,62.95,0,1,1,0
2021-02-27 09:00:00,58.7,59.5,57.4,58,432132747.640456,25199844889.1047,,1.05,60.75,0,1,1,0
2021-02-28 09:00:00,58.1,58.3,51.9,55.5,423278544.720282,23416257146.8067,,3.2,59.15,0,1,1,0
2021-03-01 09:00:00,55.3,59.5,54.6,57.5,257748401.217143,14561347735.2883,58.9,2.45,58.5,0,1,1,0
2021-03-02 09:00:00,57.5,61.9,56.7,58.4,815309996.005907,47921093448.5481,57.42,2.6,59.95,1,0.970945120934112,0.970945120934112,2.90548790658883
2021-03-03 09:00:00,58.4,59,57.4,58,440470359.88102,25571785708.1758,57.64,0.800000000000001,61,1,1,0.970945120934112,2.90548790658883
2021-03-04 09:00:00,58.4,59.8,56,58.5,423116758.302732,24501227184.0256,57.48,1.9,59.2,1,0.984975675675676,0.956357326536077,4.36426734639227
2021-03-05 09:00:00,58.4,59.4,56.5,57.7,327211941.552976,18868823166.1124,57.58,1.45,60.3,1,1,0.956357326536077,4.36426734639227
2021-03-06 09:00:00,57.6,60.9,57.2,58.8,457312987.188003,27027802435.0374,58.02,1.85,59.05,0,1,0.956357326536077,4.36426734639227
2021-03-07 09:00:00,58.8,59.9,58.2,59.3,165197645.286331,9717077011.61111,58.28,0.849999999999998,60.65,1,1,0.956357326536077,4.36426734639227
2021-03-08 09:00:00,59.4,72.7,58.9,72,2079166803.5929,135739185343.151,58.46,6.9,60.25,1,1.19182074688797,1.13980650320401,0
2021-03-09 09:00:00,72,72.8,64.3,66.6,1426983057.00526,95676826261.6873,61.26,4.25,78.9,1,1,1.13980650320401,0
2021-03-10 09:00:00,66.7,68.1,61.5,64.5,703580157.77175,45787453539.5831,62.88,3.3,70.95,1,1,1.13980650320401,0
2021-03-11 09:00:00,64.5,65.1,63,64.1,499304205.641643,31943354832.6196,64.24,1.05,67.8,1,1,1.13980650320401,0
2021-03-12 09:00:00,64.2,65.9,63.5,64.2,532278193.665368,34300598000.7922,65.3,1.2,65.25,0,1,1.13980650320401,0
2021-03-13 09:00:00,64.2,73.6,63.7,73.2,846837585.489721,56253374108.1535,66.28,4.95,65.4,0,1,1.13980650320401,0
2021-03-14 09:00:00,73,78,67.7,67.9,1776812643.89631,126870504372.899,66.52,5.15,77.95,1,0.867871199486851,0.989205237118574,13.2128800513149
2021-03-15 09:00:00,67.8,69.3,61.3,65.9,885186965.933095,58497498524.8813,66.78,4,72.95,1,1,0.989205237118574,13.2128800513149
2021-03-16 09:00:00,65.9,68.7,64.1,68.1,634892991.556341,42315419399.2997,67.06,2.3,69.9,0,1,0.989205237118574,13.2128800513149
2021-03-17 09:00:00,68,68.7,63.6,67.5,478448681.270891,31969134185.6969,67.86,2.55,70.3,1,1,0.989205237118574,13.2128800513149
2021-03-18 09:00:00,67.5,68.9,66.5,66.8,383419920.183043,25919752058.9064,68.52,1.2,70.05,0,1,0.989205237118574,13.2128800513149
2021-03-19 09:00:00,66.7,69.9,65.5,68.1,425685739.423744,28978260099.9868,67.24,2.2,67.9,0,1,0.989205237118574,13.2128800513149
2021-03-20 09:00:00,68.1,71.5,66.2,68.5,677374796.960434,47031551557.2027,67.28,2.65,70.3,1,0.971195448079659,0.960711623506119,15.7127441538937
2021-03-21 09:00:00,68.6,70,66.4,67.4,348697128.011984,23693572041.6389,67.8,1.8,71.25,1,1,0.960711623506119,15.7127441538937
2021-03-22 09:00:00,67.4,68.9,65.2,65.5,487656034.383973,32830618766.6234,67.66,1.85,69.2,0,1,0.960711623506119,15.7127441538937
2021-03-23 09:00:00,65.5,67.3,63.1,64.7,414748423.626389,27021509192.1241,67.26,2.1,67.35,0,1,0.960711623506119,15.7127441538937
2021-03-24 09:00:00,64.6,67.8,63.5,63.9,485143221.883076,32004906494.8966,66.84,2.15,66.7,0,1,0.960711623506119,15.7127441538937
2021-03-25 09:00:00,64,64.6,61.2,63.2,342947743.081033,21539703705.2828,66,1.7,66.15,0,1,0.960711623506119,15.7127441538937
2021-03-26 09:00:00,63.2,64.8,63.2,64.5,191204594.912646,12224871918.0397,64.94,0.799999999999997,64.9,0,1,0.960711623506119,15.7127441538937
2021-03-27 09:00:00,64.5,66.1,63.8,65,249733748.821652,16229994892.9202,64.36,1.15,65.3,1,0.992205819295559,0.953223663507655,16.3696942570397
2021-03-28 09:00:00,64.9,65.4,64,64.7,208741725.205848,13524665045.2993,64.26,0.700000000000003,66.05,1,1,0.953223663507655,16.3696942570397
2021-03-29 09:00:00,64.7,65.2,64,64.6,309341942.938149,19977763061.2867,64.26,0.600000000000001,65.4,1,1,0.953223663507655,16.3696942570397
2021-03-30 09:00:00,64.6,67.3,64.3,65.3,426710061.924933,27861186128.5569,64.4,1.5,65.2,1,0.998333742331288,0.951635347268338,16.5090438953206
